Date,Amount,Category,Description
2021-09-24 10:46:32.872609,441.51,Shopping,Doctor visit
2024-04-24 10:46:32.872609,224.0,Education,Lunch with friends
2022-01-19 10:46:32.872609,613.34,Utilities,Uber ride
2024-06-28 10:46:32.872609,186.28,Health,Uber ride
2024-05-21 10:46:32.872609,379.75,Education,Online course fee
2024-03-10 10:46:32.872609,463.16,Entertainment,Online course fee
2020-12-15 10:46:32.872609,202.21,Food,Watched a movie
2023-12-21 10:46:32.872609,365.0,Health,Online course fee
2024-02-12 10:46:32.872609,277.0,Utilities,Bought clothes
2021-07-07 10:46:32.872609,342.53,Travel,Online course fee
2023-07-20 10:46:32.872609,41.77,Entertainment,Doctor visit
2024-08-23 10:46:32.872609,572.98,Entertainment,Online course fee
2021-12-05 10:46:32.872609,287.8,Travel,Uber ride
2021-06-21 10:46:32.872609,120.0,Travel,Bought clothes
2023-02-23 10:46:32.872609,470.88,Travel,Bought clothes
2022-09-07 10:46:32.872609,424.04,Utilities,Doctor visit
2022-01-25 10:46:32.872609,762.74,Health,Lunch with friends
2024-02-22 10:46:32.872609,227.66,Utilities,Watched a movie
2024-05-31 10:46:32.872609,302.21,Health,Lunch with friends
2023-09-05 10:46:32.872609,165.22,Travel,Online course fee
2021-10-14 10:46:32.872609,796.62,Education,Paid for groceries
2024-05-24 10:46:32.872609,953.23,Entertainment,Doctor visit
2022-05-17 10:46:32.872609,906.52,Education,Lunch with friends
2025-04-13 10:46:32.872609,582.34,Entertainment,Paid for groceries
2024-11-11 10:46:32.872609,557.23,Travel,Electricity bill
2024-11-27 10:46:32.872609,237.41,Utilities,Bought clothes
2020-11-13 10:46:32.872609,417.58,Entertainment,Lunch with friends
2021-11-03 10:46:32.872609,526.55,Utilities,Lunch with friends
2025-03-01 10:46:32.872609,863.58,Utilities,Uber ride
2020-09-25 10:46:32.872609,224.28,Shopping,Watched a movie
2025-01-25 10:46:32.872609,478.75,Food,Bought clothes
2022-04-29 10:46:32.872609,468.14,Shopping,Paid for groceries
2022-10-21 10:46:32.872609,24.36,Health,Uber ride
2022-01-21 10:46:32.872609,433.83,Health,Electricity bill
2020-12-04 10:46:32.872609,873.87,Shopping,Electricity bill
2021-09-27 10:46:32.872609,255.35,Health,Paid for groceries
2023-09-26 10:46:32.872609,439.91,Health,Doctor visit
2025-06-20 10:46:32.872609,230.18,Shopping,Online course fee
2024-07-31 10:46:32.872609,928.2,Travel,Lunch with friends
2022-04-27 10:46:32.872609,946.79,Travel,Bought clothes
2021-09-30 10:46:32.872609,914.62,Education,Bought clothes
2024-03-25 10:46:32.872609,899.27,Shopping,Bought clothes
2023-05-10 10:46:32.872609,423.59,Utilities,Electricity bill
2022-10-10 10:46:32.872609,53.78,Travel,Lunch with friends
2025-07-07 10:46:32.872609,991.36,Food,Bought clothes
2024-02-28 10:46:32.872609,736.14,Entertainment,Electricity bill
2023-02-16 10:46:32.872609,509.17,Utilities,Bought clothes
2021-05-10 10:46:32.872609,431.44,Utilities,Online course fee
2022-01-15 10:46:32.872609,400.38,Education,Watched a movie
2021-05-03 10:46:32.872609,811.62,Utilities,Watched a movie
2021-12-09 10:46:32.872609,699.69,Entertainment,Paid for groceries
2024-09-24 10:46:32.872609,107.02,Education,Electricity bill
2023-09-14 10:46:32.872609,500.33,Education,Electricity bill
2023-07-30 10:46:32.872609,92.26,Shopping,Doctor visit
2022-01-11 10:46:32.872609,755.55,Entertainment,Bought clothes
2024-09-28 10:46:32.872609,696.23,Health,Electricity bill
2023-11-01 10:46:32.872609,412.55,Health,Online course fee
2022-12-16 10:46:32.872609,225.83,Food,Lunch with friends
2023-10-30 10:46:32.872609,364.82,Travel,Online course fee
2022-10-17 10:46:32.872609,246.67,Shopping,Electricity bill
2022-08-02 10:46:32.872609,998.96,Entertainment,Watched a movie
2021-10-14 10:46:32.872609,25.77,Education,Electricity bill
2021-05-01 10:46:32.872609,672.35,Education,Lunch with friends
2023-05-31 10:46:32.872609,170.18,Education,Lunch with friends
2023-04-28 10:46:32.872609,464.69,Entertainment,Bought clothes
2021-01-24 10:46:32.872609,574.68,Shopping,Electricity bill
2024-10-16 10:46:32.872609,587.82,Food,Bought clothes
2020-10-26 10:46:32.872609,976.66,Travel,Doctor visit
2025-05-20 10:46:32.872609,469.12,Entertainment,Electricity bill
2021-03-03 10:46:32.872609,147.24,Travel,Paid for groceries
2021-05-31 10:46:32.872609,706.1,Shopping,Electricity bill
2024-01-28 10:46:32.872609,193.1,Food,Bought clothes
2021-06-14 10:46:32.872609,872.84,Travel,Electricity bill
2024-12-30 10:46:32.872609,630.54,Food,Paid for groceries
2024-05-15 10:46:32.872609,706.86,Utilities,Uber ride
2022-12-03 10:46:32.872609,11.35,Travel,Watched a movie
2023-11-25 10:46:32.872609,631.03,Health,Paid for groceries
2020-11-29 10:46:32.872609,391.03,Entertainment,Uber ride
2022-09-18 10:46:32.872609,693.84,Shopping,Online course fee
2022-09-11 10:46:32.872609,535.61,Education,Bought clothes
2023-11-24 10:46:32.872609,303.62,Entertainment,Bought clothes
2023-03-07 10:46:32.872609,755.36,Shopping,Electricity bill
2023-07-10 10:46:32.872609,701.07,Health,Watched a movie
2021-12-18 10:46:32.872609,616.38,Food,Watched a movie
2023-08-29 10:46:32.872609,579.48,Travel,Electricity bill
2025-05-19 10:46:32.872609,215.07,Shopping,Bought clothes
2020-08-14 10:46:32.872609,687.82,Health,Watched a movie
2024-05-15 10:46:32.872609,624.25,Education,Lunch with friends
2024-08-06 10:46:32.872609,342.34,Utilities,Uber ride
2021-03-13 10:46:32.872609,932.92,Travel,Electricity bill
2024-05-18 10:46:32.872609,519.59,Entertainment,Paid for groceries
2025-07-08 10:46:32.872609,910.9,Entertainment,Lunch with friends
2023-07-26 10:46:32.872609,370.35,Entertainment,Doctor visit
2024-10-06 10:46:32.872609,61.05,Travel,Doctor visit
2022-01-19 10:46:32.872609,389.13,Travel,Uber ride
2024-11-12 10:46:32.872609,470.7,Travel,Doctor visit
2024-02-24 10:46:32.872609,50.47,Food,Watched a movie
2022-06-18 10:46:32.872609,372.77,Education,Doctor visit
2021-03-07 10:46:32.872609,651.69,Health,Electricity bill
2022-03-15 10:46:32.872609,707.82,Education,Online course fee
2022-12-29 10:46:32.872609,565.15,Food,Paid for groceries
2021-06-10 10:46:32.872609,775.84,Travel,Lunch with friends
2023-02-06 10:46:32.872609,147.02,Education,Doctor visit
2020-07-28 10:46:32.872609,341.58,Utilities,Online course fee
2024-08-08 10:46:32.872609,544.24,Shopping,Uber ride
2025-06-19 10:46:32.872609,652.55,Health,Bought clothes
2024-08-03 10:46:32.872609,740.01,Education,Bought clothes
2022-01-12 10:46:32.872609,754.75,Health,Uber ride
2023-05-13 10:46:32.872609,872.42,Education,Paid for groceries
2024-10-29 10:46:32.872609,705.82,Food,Paid for groceries
2021-07-22 10:46:32.872609,755.64,Entertainment,Online course fee
2023-05-27 10:46:32.872609,763.28,Travel,Watched a movie
2021-02-24 10:46:32.872609,327.26,Travel,Bought clothes
2025-06-08 10:46:32.872609,898.95,Food,Bought clothes
2024-01-23 10:46:32.872609,508.53,Food,Electricity bill
2022-03-25 10:46:32.872609,428.7,Utilities,Electricity bill
2025-04-10 10:46:32.872609,63.92,Education,Online course fee
2024-02-20 10:46:32.872609,379.09,Entertainment,Electricity bill
2023-05-27 10:46:32.872609,457.89,Shopping,Electricity bill
2023-12-21 10:46:32.872609,506.44,Entertainment,Lunch with friends
2021-09-02 10:46:32.872609,831.26,Education,Lunch with friends
2021-05-31 10:46:32.872609,475.46,Health,Lunch with friends
2022-08-26 10:46:32.872609,536.59,Shopping,Lunch with friends
2024-10-30 10:46:32.872609,827.13,Entertainment,Bought clothes
2021-06-17 10:46:32.872609,900.46,Entertainment,Bought clothes
2023-07-31 10:46:32.872609,457.46,Entertainment,Uber ride
2024-12-02 10:46:32.872609,374.46,Education,Online course fee
2023-07-13 10:46:32.872609,676.57,Entertainment,Paid for groceries
2020-07-23 10:46:32.872609,696.29,Shopping,Online course fee
2023-11-30 10:46:32.872609,978.3,Utilities,Online course fee
2022-05-16 10:46:32.872609,884.3,Health,Watched a movie
2023-04-18 10:46:32.872609,196.47,Travel,Lunch with friends
2020-08-30 10:46:32.872609,885.14,Health,Paid for groceries
2021-03-08 10:46:32.872609,96.44,Health,Lunch with friends
2022-08-04 10:46:32.872609,396.78,Health,Paid for groceries
2025-06-25 10:46:32.872609,187.02,Health,Bought clothes
2025-03-21 10:46:32.872609,958.67,Utilities,Doctor visit
2025-01-29 10:46:32.872609,86.18,Health,Paid for groceries
2022-04-12 10:46:32.872609,173.12,Entertainment,Bought clothes
2021-11-24 10:46:32.872609,120.9,Utilities,Online course fee
2020-11-17 10:46:32.872609,156.47,Travel,Paid for groceries
2021-11-27 10:46:32.872609,158.99,Travel,Doctor visit
2025-06-24 10:46:32.872609,212.21,Health,Doctor visit
2023-09-26 10:46:32.872609,952.58,Entertainment,Electricity bill
2020-12-30 10:46:32.872609,32.46,Shopping,Watched a movie
2021-01-13 10:46:32.872609,422.37,Food,Electricity bill
2024-08-28 10:46:32.872609,685.58,Education,Watched a movie
2023-04-13 10:46:32.872609,932.4,Education,Uber ride
2025-02-17 10:46:32.872609,479.17,Education,Paid for groceries
2020-12-10 10:46:32.872609,425.93,Education,Lunch with friends
2024-10-26 10:46:32.872609,740.33,Education,Watched a movie
2023-07-17 10:46:32.872609,31.27,Education,Paid for groceries
2024-11-06 10:46:32.872609,197.17,Food,Electricity bill
2021-04-05 10:46:32.872609,31.82,Travel,Lunch with friends
2021-04-10 10:46:32.872609,803.97,Food,Watched a movie
2024-04-03 10:46:32.872609,836.6,Utilities,Paid for groceries
2023-03-22 10:46:32.872609,524.42,Utilities,Online course fee
2023-08-21 10:46:32.872609,342.52,Travel,Lunch with friends
2021-06-25 10:46:32.872609,582.92,Shopping,Doctor visit
2022-01-15 10:46:32.872609,659.2,Health,Electricity bill
2023-07-07 10:46:32.872609,788.96,Food,Online course fee
2025-06-12 10:46:32.872609,491.29,Education,Lunch with friends
2023-12-16 10:46:32.872609,669.2,Entertainment,Online course fee
2022-12-05 10:46:32.872609,534.86,Education,Electricity bill
2021-09-28 10:46:32.872609,552.98,Education,Doctor visit
2023-07-31 10:46:32.872609,463.43,Entertainment,Paid for groceries
2024-10-15 10:46:32.872609,571.58,Utilities,Online course fee
2024-08-24 10:46:32.872609,899.3,Food,Electricity bill
2024-06-03 10:46:32.872609,313.43,Shopping,Paid for groceries
2021-09-06 10:46:32.872609,791.38,Food,Paid for groceries
2024-07-21 10:46:32.872609,234.51,Utilities,Bought clothes
2022-04-21 10:46:32.872609,378.18,Education,Online course fee
2022-10-17 10:46:32.872609,295.26,Education,Bought clothes
2024-04-27 10:46:32.872609,847.06,Travel,Doctor visit
2024-03-13 10:46:32.872609,156.85,Travel,Online course fee
2022-08-25 10:46:32.872609,291.54,Education,Watched a movie
2023-01-05 10:46:32.872609,956.65,Health,Online course fee
2023-06-16 10:46:32.872609,622.44,Entertainment,Uber ride
2023-02-01 10:46:32.872609,169.18,Education,Watched a movie
2021-03-26 10:46:32.872609,539.96,Food,Lunch with friends
2021-12-11 10:46:32.872609,190.46,Food,Watched a movie
2021-10-25 10:46:32.872609,183.61,Education,Doctor visit
2020-11-30 10:46:32.872609,711.03,Travel,Lunch with friends
2022-06-14 10:46:32.872609,905.66,Health,Bought clothes
2020-09-03 10:46:32.872609,796.51,Entertainment,Uber ride
2023-11-08 10:46:32.872609,169.64,Travel,Bought clothes
2023-08-30 10:46:32.872609,125.75,Education,Lunch with friends
2021-11-05 10:46:32.872609,993.84,Health,Watched a movie
2023-11-09 10:46:32.872609,578.78,Entertainment,Uber ride
2021-10-16 10:46:32.872609,446.48,Health,Watched a movie
2020-08-05 10:46:32.872609,375.98,Utilities,Online course fee
2020-12-14 10:46:32.872609,213.1,Health,Paid for groceries
2024-07-10 10:46:32.872609,710.06,Food,Doctor visit
2024-02-04 10:46:32.872609,668.9,Food,Doctor visit
2020-11-19 10:46:32.872609,978.24,Utilities,Paid for groceries
2021-11-02 10:46:32.872609,156.46,Travel,Watched a movie
2020-12-07 10:46:32.872609,453.94,Shopping,Bought clothes
2020-09-24 10:46:32.872609,975.71,Utilities,Electricity bill
2025-05-17 10:46:32.872609,538.31,Health,Online course fee
2022-05-29 10:46:32.872609,130.28,Education,Online course fee
2020-12-14 10:46:32.872609,34.68,Health,Watched a movie
2023-06-09 10:46:32.872609,931.76,Entertainment,Bought clothes
2021-11-21 10:46:32.872609,770.83,Travel,Electricity bill
2022-02-12 10:46:32.872609,948.31,Food,Electricity bill
2024-04-22 10:46:32.872609,928.53,Entertainment,Bought clothes
2023-04-12 10:46:32.872609,164.49,Education,Watched a movie
2021-10-03 10:46:32.872609,970.45,Travel,Online course fee
2023-07-31 10:46:32.872609,550.68,Food,Uber ride
2021-04-18 10:46:32.872609,512.33,Entertainment,Electricity bill
2024-08-11 10:46:32.872609,650.77,Shopping,Uber ride
2025-07-03 10:46:32.872609,302.6,Shopping,Electricity bill
2023-10-04 10:46:32.872609,897.02,Food,Uber ride
2023-10-15 10:46:32.872609,969.91,Travel,Uber ride
2023-03-17 10:46:32.872609,756.62,Health,Doctor visit
2021-12-01 10:46:32.872609,994.13,Entertainment,Watched a movie
2024-12-14 10:46:32.872609,670.22,Shopping,Doctor visit
2023-03-17 10:46:32.872609,801.58,Food,Bought clothes
2025-01-30 10:46:32.872609,731.26,Entertainment,Watched a movie
2022-11-02 10:46:32.872609,923.07,Food,Paid for groceries
2021-08-15 10:46:32.872609,345.3,Travel,Paid for groceries
2021-01-31 10:46:32.872609,121.19,Shopping,Uber ride
2021-02-05 10:46:32.872609,484.19,Food,Electricity bill
2024-04-01 10:46:32.872609,49.68,Health,Lunch with friends
2022-12-21 10:46:32.872609,681.23,Travel,Online course fee
2022-07-17 10:46:32.872609,125.71,Health,Electricity bill
2022-12-06 10:46:32.872609,34.55,Travel,Electricity bill
2022-11-10 10:46:32.872609,621.35,Food,Bought clothes
2023-03-05 10:46:32.872609,228.16,Travel,Watched a movie
2025-05-26 10:46:32.872609,363.82,Travel,Lunch with friends
2024-08-23 10:46:32.872609,333.1,Food,Watched a movie
2020-11-09 10:46:32.872609,612.07,Education,Electricity bill
2024-05-01 10:46:32.872609,203.2,Health,Electricity bill
2024-03-21 10:46:32.872609,531.17,Health,Doctor visit
2024-03-06 10:46:32.872609,783.47,Shopping,Online course fee
2021-02-08 10:46:32.872609,769.42,Shopping,Lunch with friends
2020-11-23 10:46:32.872609,203.76,Shopping,Lunch with friends
2022-10-24 10:46:32.872609,92.75,Education,Uber ride
2024-08-21 10:46:32.872609,850.96,Health,Electricity bill
2022-06-16 10:46:32.872609,680.29,Travel,Electricity bill
2025-01-16 10:46:32.872609,958.05,Food,Bought clothes
2025-05-21 10:46:32.872609,976.08,Food,Lunch with friends
2021-03-02 10:46:32.872609,400.48,Entertainment,Lunch with friends
2021-12-13 10:46:32.872609,495.56,Education,Paid for groceries
2021-08-18 10:46:32.872609,607.14,Health,Doctor visit
2021-08-15 10:46:32.872609,516.44,Health,Watched a movie
2023-07-25 10:46:32.872609,65.49,Food,Uber ride
2023-01-26 10:46:32.872609,670.1,Food,Online course fee
2021-05-05 10:46:32.872609,403.58,Food,Paid for groceries
2022-12-03 10:46:32.872609,718.8,Shopping,Online course fee
2021-08-01 10:46:32.872609,433.36,Shopping,Uber ride
2022-02-12 10:46:32.872609,392.25,Food,Bought clothes
2023-02-24 10:46:32.872609,22.07,Travel,Watched a movie
2021-12-15 10:46:32.872609,351.47,Travel,Doctor visit
2025-06-16 10:46:32.872609,315.0,Food,Online course fee
2020-12-23 10:46:32.872609,451.12,Food,Watched a movie
2023-01-15 10:46:32.872609,565.42,Entertainment,Lunch with friends
2025-01-31 10:46:32.872609,223.54,Health,Watched a movie
2025-05-21 10:46:32.872609,888.93,Food,Online course fee
2025-05-10 10:46:32.872609,744.11,Shopping,Paid for groceries
2023-08-23 10:46:32.872609,421.45,Travel,Doctor visit
2021-02-07 10:46:32.872609,448.08,Health,Online course fee
2020-11-02 10:46:32.872609,172.15,Utilities,Lunch with friends
2024-03-18 10:46:32.872609,730.72,Health,Watched a movie
2023-08-03 10:46:32.872609,898.75,Health,Online course fee
2025-03-30 10:46:32.872609,731.32,Entertainment,Bought clothes
2020-08-21 10:46:32.872609,420.05,Education,Bought clothes
2021-01-29 10:46:32.872609,837.16,Shopping,Paid for groceries
2024-10-12 10:46:32.872609,601.96,Travel,Lunch with friends
2025-04-25 10:46:32.872609,152.2,Travel,Electricity bill
2021-11-18 10:46:32.872609,310.2,Entertainment,Bought clothes
2021-06-27 10:46:32.872609,988.5,Health,Online course fee
2022-11-01 10:46:32.872609,530.05,Health,Uber ride
2023-04-12 10:46:32.872609,342.06,Travel,Paid for groceries
2023-04-03 10:46:32.872609,933.82,Food,Paid for groceries
2021-10-02 10:46:32.872609,594.77,Utilities,Electricity bill
2025-05-27 10:46:32.872609,382.01,Entertainment,Online course fee
2022-10-21 10:46:32.872609,16.55,Travel,Uber ride
2020-11-19 10:46:32.872609,642.42,Shopping,Online course fee
2021-06-24 10:46:32.872609,280.6,Shopping,Online course fee
2022-09-06 10:46:32.872609,183.14,Utilities,Electricity bill
2020-07-26 10:46:32.872609,467.5,Travel,Paid for groceries
2022-09-29 10:46:32.872609,572.24,Entertainment,Uber ride
2022-01-16 10:46:32.872609,915.72,Food,Online course fee
2024-12-13 10:46:32.872609,207.26,Health,Doctor visit
2024-12-15 10:46:32.872609,833.96,Travel,Doctor visit
2023-02-08 10:46:32.872609,296.57,Shopping,Doctor visit
2022-02-26 10:46:32.872609,495.68,Health,Lunch with friends
2022-12-05 10:46:32.872609,824.57,Health,Online course fee
2024-06-17 10:46:32.872609,308.97,Education,Watched a movie
2024-08-26 10:46:32.872609,589.36,Utilities,Doctor visit
2024-12-12 10:46:32.872609,499.16,Education,Lunch with friends
2023-09-03 10:46:32.872609,742.46,Entertainment,Online course fee
2024-04-07 10:46:32.872609,232.28,Food,Doctor visit
2024-08-01 10:46:32.872609,793.31,Travel,Doctor visit
2023-04-14 10:46:32.872609,162.48,Education,Doctor visit
2021-06-04 10:46:32.872609,307.17,Education,Lunch with friends
2021-08-14 10:46:32.872609,644.15,Utilities,Doctor visit
2022-03-21 10:46:32.872609,640.2,Travel,Uber ride
2021-10-10 10:46:32.872609,132.94,Food,Electricity bill
2020-11-18 10:46:32.872609,669.25,Food,Watched a movie
2023-10-21 10:46:32.872609,294.81,Utilities,Lunch with friends
2024-09-05 10:46:32.872609,187.58,Food,Online course fee
2023-08-06 10:46:32.872609,907.73,Education,Watched a movie
2020-11-23 10:46:32.872609,648.34,Entertainment,Paid for groceries
2024-09-30 10:46:32.872609,38.16,Health,Paid for groceries
2022-04-25 10:46:32.872609,767.07,Shopping,Paid for groceries
2020-11-16 10:46:32.872609,498.12,Health,Online course fee
2020-11-01 10:46:32.872609,970.92,Entertainment,Lunch with friends
2023-10-31 10:46:32.872609,602.9,Travel,Doctor visit
2023-03-25 10:46:32.872609,368.14,Utilities,Online course fee
2023-05-17 10:46:32.872609,485.68,Education,Electricity bill
2025-05-03 10:46:32.872609,441.71,Food,Watched a movie
2023-07-14 10:46:32.872609,265.33,Entertainment,Paid for groceries
2021-06-09 10:46:32.872609,689.05,Health,Doctor visit
2020-11-15 10:46:32.872609,974.52,Utilities,Uber ride
2023-05-28 10:46:32.872609,820.1,Travel,Online course fee
2021-01-02 10:46:32.872609,379.47,Travel,Online course fee
2025-04-30 10:46:32.872609,735.63,Entertainment,Doctor visit
2021-08-06 10:46:32.872609,27.37,Utilities,Watched a movie
2020-12-09 10:46:32.872609,266.94,Shopping,Doctor visit
2023-11-22 10:46:32.872609,585.84,Travel,Uber ride
2020-12-08 10:46:32.872609,154.68,Food,Electricity bill
2024-05-04 10:46:32.872609,466.43,Education,Electricity bill
2025-05-22 10:46:32.872609,696.35,Education,Watched a movie
2021-11-15 10:46:32.872609,363.81,Entertainment,Watched a movie
2022-10-26 10:46:32.872609,62.36,Travel,Watched a movie
2021-03-24 10:46:32.872609,367.55,Health,Uber ride
2025-07-19 10:46:32.872609,639.88,Education,Lunch with friends
2023-10-01 10:46:32.872609,955.6,Utilities,Watched a movie
2021-12-08 10:46:32.872609,58.23,Utilities,Paid for groceries
2023-10-20 10:46:32.872609,298.75,Health,Electricity bill
2023-11-21 10:46:32.872609,642.56,Shopping,Bought clothes
2020-10-11 10:46:32.872609,86.06,Education,Bought clothes
2024-01-11 10:46:32.872609,201.88,Education,Online course fee
2021-01-05 10:46:32.872609,631.75,Food,Online course fee
2022-11-27 10:46:32.872609,767.04,Education,Paid for groceries
2024-03-29 10:46:32.872609,602.77,Health,Bought clothes
2023-10-30 10:46:32.872609,175.46,Health,Doctor visit
2023-09-22 10:46:32.872609,329.38,Health,Lunch with friends
2023-06-27 10:46:32.872609,323.05,Food,Paid for groceries
2022-04-30 10:46:32.872609,846.54,Education,Uber ride
2022-01-07 10:46:32.872609,801.88,Travel,Lunch with friends
2021-09-13 10:46:32.872609,278.74,Health,Paid for groceries
2024-04-23 10:46:32.872609,700.99,Health,Bought clothes
2024-07-27 10:46:32.872609,368.9,Entertainment,Online course fee
2022-04-26 10:46:32.872609,539.08,Entertainment,Bought clothes
2021-11-22 10:46:32.872609,358.11,Utilities,Paid for groceries
2022-01-16 10:46:32.872609,152.28,Travel,Watched a movie
2022-10-10 10:46:32.872609,145.58,Education,Watched a movie
2021-04-16 10:46:32.872609,288.6,Health,Electricity bill
2024-04-27 10:46:32.872609,781.02,Entertainment,Bought clothes
2024-03-04 10:46:32.872609,417.87,Shopping,Online course fee
